customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
df0aa5b8586495e0ddf6b601122e43a1,85d234692f7bee8d6fea586e237334b6,13175,sumare,SP
5f8b4882b5a4ec7bf6d2107e6cd0cf29,694cb45ff29b603ac2acd51016770097,24120,niteroi,RJ
443b534d0d27a8aa9a184d4869bcbe7a,4071d48a2d0d0bf179c06fc42b962e1f,89260,jaragua do sul,SC
49af8d1256e91058af5b255f4fbc0e6d,7cc3f51930537216ff70ecdc8f506a37,69049,manaus,AM
b6349bdae88bc7c85c4aeb0cb604dac8,b5d37c728f9ea12eae24f87212cf90fa,45320,santa ines,BA
71e31bd9c37b8a1cacc557b87b3e50cb,323630f1bddac4dc06bf3bdeb90dbe36,72225,brasilia,DF
145ed96e22cdb678a8b4107d72fddcc8,c98cc8ac7311ad123e723f5caef4c1e3,14709,bebedouro,SP
f9dfd7942a2d7f1588b7638a9bdc8ff1,ebf40c0db4fe06ddd15a7a44238c986e,24240,niteroi,RJ
864deba6b142c6d04a53fd379a9256a3,184997aab6012d21021017a525de5206,74160,goiania,GO
07cbe547b6dec2535abda65b57733754,53ce59821e6c5041654f61c58e99bcc2,08080,sao paulo,SP
46d2e019708c24dcdd7876d13010570b,912a41ed4b2200e0ac7b5ea1ef1c433b,04571,sao paulo,SP
a86314eff3e69dc24f43d56010778157,c29bc878f4400d62f9d33ddd8d13236b,06140,osasco,SP
0a2883594e4e7a4a978b205dd7bcf909,f25f4335773e57531fab383b2a86d978,03122,sao paulo,SP
f280548eca7d2b0ef9da3fc572df42ce,a62f1ea95f3b1031c7cabb98f147aa27,05577,sao paulo,SP
0424e2f81bdfb77d7c11c3f447c7b241,bb6ffa5f9b68665f0cb238ea298092a3,12081,taubate,SP
cafd020d75573a79a7cb037f87b31515,9f735d60e4d6d3ec348d7bbdb550eb43,26022,nova iguacu,RJ
43d2e22777294d5b6fbee5a6fb88254d,afa1462306ce1941adc5524ab4198909,18550,boituva,SP
fa777a37be56a994adf36d437a3ae595,63fe99fa23473a7340917d48f548ccd7,47800,barreiras,BA
db2cf3b3feeca251d6c3c93bf5f1b75a,ea451b172ee6446d30d57f0c59a4ddc3,71915,brasilia,DF
e38d1d16f382a3c99f6da45b79418463,f2cb4abe193595fe70e9c380e488004c,11070,santos,SP
10c23e73ba4e0d1dba0fcb959305ecf2,58c9adbd05815ccb9c1e1ddf6a8f6124,20020,rio de janeiro,RJ
506ad507afe195802c80197c61b37ebe,a6287dcde3fcf9870d4254398a407d27,22753,rio de janeiro,RJ
7024b77e0f63bfa361f87eb7e4d21b51,d0a9421d1143535e463a15d18fcddf90,17207,jau,SP
f4302056f0c58570522590f8181de2c7,67b05b597a66b5c449025000b9430abb,64605,picos,PI
02dfd8931ac72171c45b5c8522cf4082,a8794bde6655593c9b71212e6dea7177,05727,sao paulo,SP
a1938d6eb0dc6c5fdf04e33f6e7c74f8,f2c08b92fc8f8634e72f8cc74f06a8f4,89810,chapeco,SC
ac41dfafea25769214d7e659ae04882e,a20cdea40f5bfb3da4c667e998086272,02541,sao paulo,SP
c9215c202f283f26558cc8e3b469ade1,9e066311b498f2311b3e21a6577fe238,06717,cotia,SP
2f944f4db017e0ca821988940060dde1,b55c4cbaa102fdce0375bc2a92ed4bf8,36200,barbacena,MG
601e4637ee77e342cd967dab2de46cab,796af4fac93296428070925a8a78aaa1,70875,brasilia,DF
6daa8f0dc2e558d601f7ed53eb6188e0,2356a157ac13013e2af4979379737874,56330,petrolina,PE
1a8a7a0627b8eb850b3fc69d73867a08,efa5d4299e261e6d7f6cd7f94b5aa7ff,17700,osvaldo cruz,SP
c64e943126adfabb1c2ae21b4bc1e650,d6d67261f2634cdf9ec293cd765c8479,07063,guarulhos,SP
eb71557f1184513989581773d1afc0d5,9caf7fce45f197ace0ef67476d5f0b94,04761,sao paulo,SP
7c6c12489e36aafa4ab5dfcfef887475,55133cf96f44c834ac51d0e3b678c7a8,73035,brasilia,DF
52fbd9fb0561eb0384eb3e5649d2a640,f4371991881a328886a134bbc99cec9e,79332,corumba,MS
ea3742e869d611ce91ce6cdc43bea07b,063342fa545494715cc59f983598c546,83606,campo largo,PR
7f6e9a3e00f0600dc1a8473fa31c23e3,84f30d2fd3937449dc7e0c835c281961,70344,brasilia,DF
f5c0508d514341f2b2f4d2820f9aae88,29c059c81f62aa098e896ddd7fbc5c32,45400,valenca,BA
ff4545a3148f5a22667f301e00cb5ad7,70a2aece5345a514bf960b01975aaa60,91330,porto alegre,RS
fa02a9d0399654a2a97b861ec8ef7897,9e4cec36a7f9294540b39950eade4190,35450,itabirito,MG
6cee76d1e3c3c310a01384d453f50e3f,a8fd074b27a3bcbb16deba85b778900f,13202,jundiai,SP
6886c10afd8d27df19c5a49be96cd346,f9b57816964006c90c458a0caba0306b,91450,porto alegre,RS
5248c29eeab9341e2a39a0ef656147c6,d99fc08319dbc8845e2a114877462ff7,30882,belo horizonte,MG
e5774bc03685e61b1a33c24e43e28a3c,9049685052da8ea435727689c67b81c9,05590,sao paulo,SP
1f4e48d20f0deaacefd7fc19a4382c65,520461ee715946f0513f41524ee3213f,03573,sao paulo,SP
9f578aad6c6c21853f44c0965b35193d,aa60cdc29dfb37e9388bdd20aa4d7a61,34800,caete,MG
b9cc7bff1ac00970ba1247f36be4879d,62de6068da9506dca753598fcfbdcd16,20020,rio de janeiro,RJ
bab736fca197c16d48f8720536c8024d,83c76475c52e94b39f6240b68ffec54a,37750,machado,MG
b7b9d825193190cb535f44b403f4c9da,651ed17eda0600815cf614b33c535d6b,87730,santo antonio do caiua,PR
