seller_id,seller_zip_code_prefix,seller_city,seller_state
768a86e36ad6aae3d03ee3c6433d61df,01529,sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8bd0f31cf0a614c658f6763bd02dea69,01222,sao paulo,SP
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA
f7496d659ca9fdaf323c0aae84176632,04156,sao paulo,SP
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
b2a6d334e2833acea353624840e25a0e,04133,sao paulo,SP
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
02ecc2a19303f05e59ce133fd923fff7,09121,santo andre,SP
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP
a416b6a846a11724393025641d4edd5e,03702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,06429,barueri,SP
ef506c96320abeedfb894c34db06f478,03569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
8a9260f2b0340411d6d2a56bcf4f7378,32180,contagem,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
7722b1df1b0e383e000397b2c11e3e19,09715,sao bernardo do campo,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
cda598c48d7c614bc1cad7d8ff6f0010,15137,mirassol,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
ad87df7699e83b8a91822a4a0b765c3a,13820,jaguariuna,SP
eb72802c83dc7547529c9546d1a9b8ef,13504,rio claro,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,04248,sao paulo,SP
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
7b07b3c7487f0ea825fc6df75abd658b,02016,sao paulo,SP
784ba75dd9d20200c4caed3d7a77141a,01040,sao paulo,SP
82e0a475a88cc9595229d8029273f045,03417,sao paulo,SP
ed4acab38528488b65a9a9c603ff024a,08260,sao paulo,SP
b18dc380845b24038cfc48006478f099,09951,diadema,SP
a64e44665225d19dfc0277eeeaaccc57,19400,sao paulo,SP
42b6488f5b8246d9141712abd4b1b693,87014,maringa,PR
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
fa40cc5b934574b62717c68f3d678b6d,02310,sao paulo,SP
c0098efcf800861dcae589affca31408,14080,ribeirao preto,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
d1c7fa84e48cfa21a0e595167c1c500e,99730,jacutinga,RS
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
3f995f07c49d0d55a99d5c54957f7d81,06853,itapecerica da serra,SP
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
55bb6fe5bebe5012e2d7d9928e1128ff,17052,bauru,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
b8555308bfdb4ca1ed54325a58da9a97,09751,sao bernardo do campo,SP
1dc2de47ee26a0a5b12dc14fd6dc0dea,14940,ibitinga,SP
4917cee8d902e13428c3ec4b1ca6f315,89031,blumenau,SC
5011f0d93373a4c5753adf58ca77af8d,11013,santos,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
7aa4334be125fcdd2ba64b3180029f14,18500,laranjal paulista,SP
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
516e7738bd8f735ac19a010ee5450d8d,22230,rio de janeiro,RJ
9f505651f4a6abe901a56cdc21508025,04102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
744dac408745240a2c2528fb1b6028f3,83408,colombo,PR
9b013e03b2ab786505a1d3b5c0756754,11450,vicente de carvalho,SP
8b9d6eec4a7eb7d0f9d579ce0b38324d,26562,mesquita,RJ
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
5f3ae9136c875522250f8184f253413a,01550,sao paulo,SP
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
cbd996ad3c1b7dc71fd0e5f5df9087e2,15081,sao jose do rio preto,SP
8daab2245ebdc277c51098d01c5ad8ef,08411,sao paulo,SP
6989574bd97d9773f10d232b6c07da59,80040,curitiba,PR
5f2684dab12e59f83bef73ae57724e45,05125,sao paulo,SP
